,Date,Rented Bike Count,Hour,Temperature(�C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(�C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day
93,47,397,21,-4.6,43,4.5,2000,-15.3,0.0,0.0,0.0,3,1,1
94,47,353,22,-5.3,45,2.5,2000,-15.3,0.0,0.0,0.0,3,1,1
95,47,248,23,-5.8,44,2.4,2000,-16.1,0.0,0.0,0.0,3,1,1
96,59,216,0,-6.1,42,2.6,2000,-16.9,0.0,0.0,0.0,3,1,1
97,59,198,1,-6.5,41,2.8,2000,-17.6,0.0,0.0,0.0,3,1,1
98,59,124,2,-6.8,41,2.5,2000,-17.8,0.0,0.0,0.0,3,1,1
99,59,62,3,-6.9,39,2.0,2000,-18.5,0.0,0.0,0.0,3,1,1
100,59,42,4,-7.2,34,3.0,2000,-20.4,0.0,0.0,0.0,3,1,1
101,59,82,5,-7.4,33,2.6,2000,-20.9,0.0,0.0,0.0,3,1,1
102,59,172,6,-7.4,34,3.2,2000,-20.6,0.0,0.0,0.0,3,1,1
103,59,381,7,-7.5,33,2.2,2000,-21.0,0.0,0.0,0.0,3,1,1
104,59,812,8,-8.1,36,1.6,2000,-20.5,0.01,0.0,0.0,3,1,1
105,59,462,9,-7.6,31,1.3,1974,-21.8,0.21,0.0,0.0,3,1,1
106,59,269,10,-5.5,26,2.8,1967,-22.0,0.64,0.0,0.0,3,1,1
107,59,334,11,-3.9,25,0.0,1959,-21.0,0.0,0.0,0.0,3,1,1
108,59,321,12,-2.3,25,0.0,1962,-19.7,0.0,0.0,0.0,3,1,1
109,59,325,13,-1.6,27,0.0,1955,-18.2,0.0,0.0,0.0,3,1,1
110,59,334,14,-1.1,28,0.0,2000,-17.3,0.0,0.0,0.0,3,1,1
111,59,353,15,-0.7,28,0.0,2000,-16.9,0.0,0.0,0.0,3,1,1
112,59,435,16,-0.5,30,0.0,2000,-16.0,0.0,0.0,0.0,3,1,1
113,59,529,17,-1.6,35,0.0,2000,-15.1,0.0,0.0,0.0,3,1,1
114,59,789,18,-2.6,40,0.0,2000,-14.4,0.0,0.0,0.0,3,1,1
115,59,597,19,-3.2,45,0.0,2000,-13.5,0.0,0.0,0.0,3,1,1
116,59,418,20,-3.5,46,0.0,2000,-13.4,0.0,0.0,0.0,3,1,1
117,59,415,21,-3.7,47,0.0,2000,-13.3,0.0,0.0,0.0,3,1,1
118,59,393,22,-2.8,49,0.0,2000,-12.0,0.0,0.0,0.0,3,1,1
119,59,244,23,-2.5,59,0.0,1210,-9.4,0.0,0.0,0.0,3,1,1
120,71,145,0,-2.8,77,0.0,331,-6.2,0.0,0.1,0.1,3,1,1
121,71,144,1,-3.0,79,0.0,293,-6.1,0.0,0.0,0.3,3,1,1
122,71,117,2,-3.0,79,0.0,1862,-6.1,0.0,0.0,0.4,3,1,1
123,71,78,3,-3.2,78,0.0,1808,-6.4,0.0,0.2,0.4,3,1,1
124,71,58,4,-3.4,75,0.0,1982,-7.2,0.0,0.0,0.4,3,1,1
125,71,87,5,-3.6,76,0.0,1934,-7.2,0.0,0.0,0.4,3,1,1
126,71,142,6,-3.7,76,0.0,1864,-7.3,0.0,0.0,0.4,3,1,1
127,71,379,7,-4.2,77,0.0,1741,-7.6,0.0,0.0,0.3,3,1,1
128,71,802,8,-4.2,78,0.0,1518,-7.4,0.01,0.0,0.2,3,1,1
129,71,440,9,-3.3,70,0.0,1324,-7.9,0.25,0.0,0.2,3,1,1
130,71,307,10,-0.9,64,0.0,1224,-6.8,0.63,0.0,0.2,3,1,1
131,71,381,11,1.6,57,1.2,1261,-6.0,0.93,0.0,0.0,3,1,1
132,71,405,12,2.4,52,0.9,1224,-6.4,1.08,0.0,0.0,3,1,1
133,71,442,13,4.2,47,1.1,1469,-6.1,1.1,0.0,0.0,3,1,1
134,71,416,14,5.5,34,1.0,1966,-9.1,0.96,0.0,0.0,3,1,1
135,71,412,15,5.5,31,3.1,1968,-10.3,0.72,0.0,0.0,3,1,1
136,71,496,16,5.3,37,2.9,2000,-8.2,0.36,0.0,0.0,3,1,1
137,71,239,17,4.1,60,2.5,1565,-2.9,0.1,0.0,0.0,3,1,1
138,71,204,18,1.7,90,1.0,66,0.2,0.0,0.3,0.3,3,1,1
139,71,205,19,1.2,92,0.7,180,0.0,0.0,0.0,1.0,3,1,1
140,71,190,20,1.2,94,0.6,228,0.3,0.0,0.0,1.0,3,1,1
141,71,165,21,1.1,92,0.5,235,0.0,0.0,0.7,1.0,3,1,1
142,71,222,22,1.3,92,0.6,233,0.1,0.0,0.0,1.0,3,1,1
143,71,193,23,1.3,92,0.6,209,0.1,0.0,0.0,1.0,3,1,1
144,83,198,0,1.4,92,0.5,240,0.2,0.0,0.0,0.9,3,1,1
145,83,218,1,1.5,92,0.4,227,0.3,0.0,0.0,0.9,3,1,1
146,83,149,2,1.4,92,0.7,168,0.2,0.0,0.0,0.9,3,1,1
147,83,102,3,1.9,91,1.4,218,0.5,0.0,0.0,0.9,3,1,1
148,83,62,4,1.6,92,0.7,119,0.4,0.0,0.0,0.9,3,1,1
149,83,83,5,1.5,92,1.1,175,0.3,0.0,0.0,0.9,3,1,1
150,83,137,6,1.0,93,0.5,148,0.0,0.0,0.0,0.9,3,1,1
151,83,367,7,0.3,93,0.5,173,-0.7,0.0,0.0,0.9,3,1,1
152,83,754,8,-0.2,96,0.8,173,-0.7,0.01,0.0,0.8,3,1,1
153,83,415,9,0.1,91,0.8,265,-1.1,0.14,0.0,0.8,3,1,1
154,83,321,10,1.1,83,0.7,311,-1.4,0.41,0.0,0.7,3,1,1
155,83,333,11,2.3,69,1.7,628,-2.8,0.63,0.0,0.6,3,1,1
156,83,431,12,3.7,65,2.4,833,-2.2,0.98,0.0,0.3,3,1,1
157,83,394,13,4.1,37,3.1,1767,-9.3,1.14,0.0,0.0,3,1,1
158,83,390,14,4.4,36,2.7,1975,-9.4,1.04,0.0,0.0,3,1,1
159,83,430,15,4.0,35,3.1,1962,-10.1,0.84,0.0,0.0,3,1,1
160,83,471,16,3.2,38,2.9,1817,-9.7,0.51,0.0,0.0,3,1,1
161,83,552,17,2.1,50,2.0,1434,-7.2,0.15,0.0,0.0,3,1,1
162,83,795,18,0.7,46,2.7,1558,-9.6,0.0,0.0,0.0,3,1,1
163,83,507,19,-0.4,47,2.5,1269,-10.3,0.0,0.0,0.0,3,1,1
164,83,390,20,-1.4,47,2.5,1620,-11.2,0.0,0.0,0.0,3,1,1
165,83,402,21,-2.2,46,2.2,1975,-12.2,0.0,0.0,0.0,3,1,1
166,83,389,22,-2.7,48,2.6,1844,-12.2,0.0,0.0,0.0,3,1,1
167,83,259,23,-3.2,50,2.1,1887,-12.1,0.0,0.0,0.0,3,1,1
168,95,233,0,-3.5,49,2.6,1893,-12.6,0.0,0.0,0.0,3,1,1
169,95,230,1,-3.7,50,2.5,1902,-12.6,0.0,0.0,0.0,3,1,1
170,95,131,2,-4.3,53,1.0,1918,-12.4,0.0,0.0,0.0,3,1,1
171,95,99,3,-4.8,52,1.6,1978,-13.1,0.0,0.0,0.0,3,1,1
172,95,71,4,-5.3,53,2.4,1936,-13.4,0.0,0.0,0.0,3,1,1
173,95,84,5,-5.8,56,2.0,1941,-13.1,0.0,0.0,0.0,3,1,1
174,95,158,6,-6.0,56,3.5,1853,-13.3,0.0,0.0,0.0,3,1,1
175,95,387,7,-6.5,57,0.8,1776,-13.6,0.0,0.0,0.0,3,1,1
176,95,780,8,-7.0,59,0.8,1559,-13.6,0.01,0.0,0.0,3,1,1
177,95,395,9,-6.7,50,0.9,1492,-15.4,0.23,0.0,0.0,3,1,1
178,95,261,10,-5.3,44,2.8,1516,-15.6,0.63,0.0,0.0,3,1,1
179,95,310,11,-3.7,39,1.4,1595,-15.6,0.93,0.0,0.0,3,1,1
180,95,355,12,-2.0,30,1.4,1728,-17.3,1.14,0.0,0.0,3,1,1
181,95,354,13,-1.7,28,1.8,1963,-17.8,1.22,0.0,0.0,3,1,1
182,95,350,14,-1.3,27,3.1,1906,-17.9,1.12,0.0,0.0,3,1,1
183,95,362,15,-0.8,26,3.3,1977,-17.9,0.87,0.0,0.0,3,1,1
184,95,401,16,-1.1,24,3.4,2000,-19.1,0.56,0.0,0.0,3,1,1
185,95,500,17,-2.4,30,2.7,2000,-17.6,0.18,0.0,0.0,3,1,1
186,95,752,18,-3.1,33,1.2,2000,-17.1,0.0,0.0,0.0,3,1,1
187,95,477,19,-3.3,35,1.1,2000,-16.6,0.0,0.0,0.0,3,1,1
188,95,384,20,-3.3,34,1.5,2000,-16.9,0.0,0.0,0.0,3,1,1
189,95,336,21,-3.3,35,0.5,2000,-16.6,0.0,0.0,0.0,3,1,1
190,95,347,22,-3.4,39,1.2,2000,-15.4,0.0,0.0,0.0,3,1,1
191,95,275,23,-3.5,43,0.9,2000,-14.3,0.0,0.0,0.0,3,1,1
192,107,267,0,-3.5,48,0.9,1967,-12.9,0.0,0.0,0.0,3,1,1
193,107,296,1,-4.1,49,0.6,2000,-13.2,0.0,0.0,0.0,3,1,1
194,107,237,2,-4.7,50,0.7,1983,-13.5,0.0,0.0,0.0,3,1,1
195,107,169,3,-4.3,47,0.6,1992,-13.9,0.0,0.0,0.0,3,1,1
196,107,96,4,-4.3,49,0.7,2000,-13.4,0.0,0.0,0.0,3,1,1
197,107,56,5,-4.7,49,0.8,1999,-13.8,0.0,0.0,0.0,3,1,1
198,107,76,6,-5.1,53,0.9,1975,-13.2,0.0,0.0,0.0,3,1,1
199,107,127,7,-5.5,56,0.8,1950,-12.9,0.0,0.0,0.0,3,1,1
200,107,222,8,-5.4,56,0.7,1940,-12.8,0.01,0.0,0.0,3,1,1
201,107,291,9,-4.7,48,1.0,1784,-14.0,0.23,0.0,0.0,3,1,1
202,107,273,10,-2.2,42,1.3,1646,-13.4,0.61,0.0,0.0,3,1,1
203,107,351,11,0.0,45,1.1,1500,-10.5,0.89,0.0,0.0,3,1,1
204,107,427,12,2.4,40,0.8,1809,-9.8,1.05,0.0,0.0,3,1,1
205,107,431,13,3.9,36,2.0,1702,-9.8,1.13,0.0,0.0,3,1,1
206,107,486,14,4.7,32,2.2,1948,-10.6,1.06,0.0,0.0,3,1,1
207,107,569,15,5.2,30,2.0,1963,-11.0,0.84,0.0,0.0,3,1,1
208,107,546,16,4.4,33,1.6,1963,-10.5,0.4,0.0,0.0,3,1,1
209,107,481,17,3.5,37,1.8,1963,-9.8,0.1,0.0,0.0,3,1,1
210,107,384,18,2.5,41,1.0,1974,-9.4,0.0,0.0,0.0,3,1,1
211,107,275,19,1.5,48,0.4,1878,-8.3,0.0,0.0,0.0,3,1,1
212,107,298,20,0.8,51,1.4,1848,-8.2,0.0,0.0,0.0,3,1,1
213,107,321,21,-0.1,55,0.7,1654,-8.0,0.0,0.0,0.0,3,1,1
214,107,289,22,-0.5,55,0.6,1655,-8.4,0.0,0.0,0.0,3,1,1
215,107,265,23,-0.1,54,1.3,1570,-8.3,0.0,0.0,0.0,3,1,1
216,119,326,0,-0.2,55,1.0,1629,-8.1,0.0,0.0,0.0,3,1,1
217,119,280,1,-0.2,54,0.5,1747,-8.4,0.0,0.0,0.0,3,1,1
218,119,243,2,0.2,52,0.7,1726,-8.5,0.0,0.0,0.0,3,1,1
219,119,169,3,0.3,53,0.5,1748,-8.1,0.0,0.0,0.0,3,1,1
220,119,71,4,0.4,52,1.6,1816,-8.3,0.0,0.0,0.0,3,1,1
221,119,13,5,0.3,74,1.0,178,-3.7,0.0,0.0,0.7,3,1,1
222,119,9,6,-0.5,90,0.9,91,-1.9,0.0,2.5,2.7,3,1,1
223,119,20,7,-0.4,92,1.1,121,-1.5,0.0,0.0,4.0,3,1,1
224,119,35,8,-0.2,90,1.2,378,-1.6,0.0,0.0,4.1,3,1,1
225,119,31,9,0.2,90,1.0,305,-1.2,0.0,1.6,4.3,3,1,1
226,119,19,10,0.5,91,0.4,143,-0.8,0.0,0.0,4.3,3,1,1
227,119,58,11,0.9,92,0.9,137,-0.2,0.03,0.0,3.9,3,1,1
228,119,119,12,2.3,88,0.3,245,0.5,0.28,0.0,3.1,3,1,1
229,119,182,13,3.3,87,1.1,230,1.3,0.54,0.0,2.1,3,1,1
230,119,235,14,4.2,85,0.7,325,1.8,0.65,0.0,1.4,3,1,1
231,119,180,15,6.7,63,4.5,715,0.1,0.35,0.0,1.0,3,1,1
232,119,214,16,5.4,71,3.5,622,0.5,0.2,0.0,0.5,3,1,1
233,119,226,17,3.6,65,4.3,1061,-2.3,0.03,0.0,0.4,3,1,1
234,119,210,18,2.0,61,3.0,2000,-4.7,0.0,0.0,0.0,3,1,1
235,119,181,19,1.6,53,4.0,2000,-6.9,0.0,0.0,0.0,3,1,1
236,119,165,20,0.6,57,3.9,1954,-6.9,0.0,0.0,0.0,3,1,1
237,119,167,21,0.0,59,3.0,1862,-7.0,0.0,0.0,0.0,3,1,1
238,119,152,22,-1.0,56,4.7,2000,-8.6,0.0,0.0,0.0,3,1,1
239,119,148,23,-1.4,43,4.3,2000,-12.3,0.0,0.0,0.0,3,1,1
240,131,125,0,-2.5,39,3.4,2000,-14.5,0.0,0.0,0.0,3,1,1
241,131,111,1,-3.4,36,3.8,2000,-16.3,0.0,0.0,0.0,3,1,1
242,131,67,2,-4.2,35,3.4,2000,-17.4,0.0,0.0,0.0,3,1,1
243,131,45,3,-4.7,38,2.4,2000,-16.8,0.0,0.0,0.0,3,1,1
244,131,44,4,-5.2,35,3.2,2000,-18.3,0.0,0.0,0.0,3,1,1
245,131,86,5,-5.6,38,3.2,1974,-17.6,0.0,0.0,0.0,3,1,1
246,131,136,6,-5.9,39,2.9,1979,-17.6,0.0,0.0,0.0,3,1,1
247,131,325,7,-6.0,39,3.1,1996,-17.7,0.0,0.0,0.0,3,1,1
248,131,653,8,-6.0,38,3.6,1994,-18.0,0.01,0.0,0.0,3,1,1
249,131,326,9,-5.9,36,5.1,1941,-18.6,0.1,0.0,0.0,3,1,1
250,131,212,10,-5.3,32,4.5,2000,-19.4,0.62,0.0,0.0,3,1,1
251,131,226,11,-4.7,36,3.8,2000,-17.5,1.0,0.0,0.0,3,1,1
252,131,247,12,-5.2,33,4.6,1973,-19.0,1.26,0.0,0.0,3,1,1
253,131,241,13,-5.4,32,5.1,1986,-19.5,1.24,0.0,0.0,3,1,1
254,131,253,14,-5.4,31,4.1,1945,-19.9,1.13,0.0,0.0,3,1,1
255,131,269,15,-5.5,33,4.5,2000,-19.2,0.92,0.0,0.0,3,1,1
256,131,277,16,-6.0,40,4.0,2000,-17.4,0.55,0.0,0.0,3,1,1
257,131,361,17,-7.1,44,4.2,2000,-17.3,0.18,0.0,0.0,3,1,1
258,131,557,18,-7.9,43,3.3,2000,-18.3,0.0,0.0,0.0,3,1,1
259,131,371,19,-8.6,45,3.9,2000,-18.4,0.0,0.0,0.0,3,1,1
260,131,254,20,-9.3,49,3.8,2000,-18.0,0.0,0.0,0.0,3,1,1
261,131,266,21,-9.7,51,2.5,2000,-17.9,0.0,0.0,0.0,3,1,1
262,131,222,22,-10.2,50,3.0,2000,-18.6,0.0,0.0,0.0,3,1,1
263,131,174,23,-10.7,53,1.2,2000,-18.4,0.0,0.0,0.0,3,1,1
264,143,133,0,-11.0,51,1.1,2000,-19.1,0.0,0.0,0.0,3,1,1
265,143,127,1,-11.2,51,1.1,2000,-19.3,0.0,0.0,0.0,3,1,1
266,143,95,2,-11.5,50,0.7,2000,-19.8,0.0,0.0,0.0,3,1,1
267,143,54,3,-11.6,50,2.2,1995,-19.9,0.0,0.0,0.0,3,1,1
268,143,46,4,-11.6,47,2.1,1982,-20.6,0.0,0.0,0.0,3,1,1
269,143,65,5,-11.6,45,2.8,1951,-21.1,0.0,0.0,0.0,3,1,1
270,143,104,6,-11.8,47,2.5,1973,-20.8,0.0,0.0,0.0,3,1,1
271,143,280,7,-12.1,50,2.3,1929,-20.4,0.0,0.0,0.0,3,1,1
272,143,580,8,-12.3,52,1.3,1914,-20.1,0.0,0.0,0.0,3,1,1
273,143,275,9,-11.8,46,2.9,1956,-21.1,0.1,0.0,0.0,3,1,1
274,143,184,10,-10.5,45,3.3,1855,-20.1,0.6,0.0,0.0,3,1,1
275,143,201,11,-9.4,42,3.1,1815,-19.9,0.93,0.0,0.0,3,1,1
276,143,228,12,-8.3,35,2.9,1967,-21.0,1.14,0.0,0.0,3,1,1
277,143,225,13,-6.9,37,2.4,1955,-19.1,1.22,0.0,0.0,3,1,1
278,143,258,14,-5.4,32,2.0,1930,-19.5,1.12,0.0,0.0,3,1,1
279,143,250,15,-5.8,30,2.8,2000,-20.6,0.92,0.0,0.0,3,1,1
280,143,248,16,-6.0,29,2.8,1983,-21.2,0.58,0.0,0.0,3,1,1
281,143,305,17,-7.0,32,2.6,2000,-20.9,0.19,0.0,0.0,3,1,1
282,143,529,18,-7.7,36,1.0,2000,-20.2,0.0,0.0,0.0,3,1,1
283,143,350,19,-8.2,43,1.1,2000,-18.5,0.0,0.0,0.0,3,1,1
284,143,260,20,-8.4,42,1.0,2000,-19.0,0.0,0.0,0.0,3,1,1
285,143,270,21,-8.8,43,1.4,1999,-19.1,0.0,0.0,0.0,3,1,1
286,143,256,22,-9.0,45,1.3,1999,-18.7,0.0,0.0,0.0,3,1,1
287,143,173,23,-9.3,47,2.1,2000,-18.5,0.0,0.0,0.0,3,1,1
288,155,168,0,-9.5,48,1.3,1996,-18.4,0.0,0.0,0.0,3,1,1
289,155,183,1,-10.2,52,1.6,1997,-18.2,0.0,0.0,0.0,3,1,1
290,155,120,2,-10.4,53,1.8,1949,-18.1,0.0,0.0,0.0,3,1,1
291,155,79,3,-10.9,55,1.8,1913,-18.1,0.0,0.0,0.0,3,1,1
292,155,41,4,-11.4,58,1.3,1907,-18.0,0.0,0.0,0.0,3,1,1
293,155,68,5,-11.5,58,1.1,1923,-18.1,0.0,0.0,0.0,3,1,1
294,155,109,6,-11.9,57,1.1,1974,-18.7,0.0,0.0,0.0,3,1,1
295,155,310,7,-11.7,53,1.6,1998,-19.3,0.0,0.0,0.0,3,1,1
296,155,591,8,-11.4,47,3.3,2000,-20.4,0.0,0.0,0.0,3,1,1
297,155,340,9,-11.1,46,3.4,1981,-20.4,0.1,0.0,0.0,3,1,1
298,155,202,10,-9.5,39,2.1,1875,-20.9,0.6,0.0,0.0,3,1,1
299,155,251,11,-8.1,35,1.8,1806,-20.9,0.96,0.0,0.0,3,1,1
300,155,267,12,-6.5,30,2.9,1945,-21.2,1.17,0.0,0.0,3,1,1
301,155,251,13,-5.8,28,2.9,1887,-21.4,1.23,0.0,0.0,3,1,1
302,155,240,14,-4.7,27,2.9,1883,-20.8,1.12,0.0,0.0,3,1,1
303,155,240,15,-4.9,26,3.1,1887,-21.5,0.89,0.0,0.0,3,1,1
304,155,278,16,-4.5,26,2.2,2000,-21.1,0.56,0.0,0.0,3,1,1
305,155,392,17,-5.6,29,1.7,2000,-20.8,0.18,0.0,0.0,3,1,1
306,155,537,18,-6.6,33,1.1,2000,-20.2,0.0,0.0,0.0,3,1,1
307,155,373,19,-6.6,31,1.6,2000,-20.9,0.0,0.0,0.0,3,1,1
308,155,263,20,-7.6,35,0.8,2000,-20.4,0.0,0.0,0.0,3,1,1
309,155,271,21,-8.3,39,1.0,2000,-19.8,0.0,0.0,0.0,3,1,1
310,155,271,22,-8.9,39,0.1,2000,-20.3,0.0,0.0,0.0,3,1,1
